556829.419922 7133475.000000 441.877441 1801.317017
556854.419922 7133474.989990 441.217987 1801.333008
556879.419922 7133474.989990 439.830811 1801.349976
556904.419922 7133474.989990 437.583649 1801.349976
556929.419922 7133474.989990 434.760254 1801.350952
556954.419922 7133474.989990 431.803284 1801.366943
556979.419922 7133474.989990 429.077026 1801.366943
557004.419922 7133474.989990 426.766907 1801.389038
557354.419922 7134399.979980 429.032684 1801.390015
557354.419922 7134424.979980 429.392639 1801.405029
557354.419922 7134349.979980 428.415955 1801.433960
557354.419922 7134449.979980 429.810547 1801.447998
557354.419922 7134374.979980 428.710907 1801.462036
557304.419922 7134374.979980 427.913605 1801.464966
557304.419922 7134399.979980 428.260834 1801.473022
557354.419922 7134324.979980 428.096893 1801.505981
557304.419922 7134424.979980 428.570862 1801.511963
557354.419922 7134299.979980 427.692749 1801.526978
557354.419922 7134474.979980 430.291382 1801.529053
557304.419922 7134349.979980 427.528839 1801.568970
557354.419922 7134274.979980 427.197723 1801.577026
557404.419922 7134374.979980 430.569763 1801.583008
557404.419922 7134349.979980 430.272583 1801.593994
557304.419922 7134449.979980 428.868042 1801.605957
557404.419922 7134324.979980 429.955261 1801.609985
557404.419922 7134299.979980 429.505402 1801.633057
557404.419922 7134399.979980 430.979523 1801.640015
557304.419922 7134324.979980 427.137238 1801.645020
557304.419922 7133974.989990 422.899933 1801.646973
557404.419922 7134274.979980 428.885254 1801.657959
557404.419922 7134424.979980 431.538544 1801.667969
557404.419922 7134449.979980 432.222992 1801.677002
557354.419922 7134249.979980 426.569061 1801.687012
557404.419922 7134474.979980 433.073517 1801.737061
557254.419922 7134024.989990 422.949493 1801.754028
557354.419922 7134499.979980 431.029175 1801.776978
557254.419922 7133999.989990 422.958191 1801.782959
557254.419922 7134049.989990 422.937103 1801.785034
557304.419922 7134299.979980 426.697235 1801.791992
557304.419922 7134474.979980 429.191589 1801.807983
557254.419922 7134074.989990 422.929504 1801.822998
557304.419922 7133999.989990 422.933533 1801.824951
557404.419922 7134499.979980 434.075592 1801.834961
557254.419922 7134099.979980 422.954224 1801.843018
557354.419922 7134224.979980 425.835266 1801.845947
557204.419922 7134074.989990 422.886658 1801.848022
557404.419922 7134249.979980 428.025848 1801.848022
557304.419922 7134249.979980 425.656616 1801.848999
557304.419922 7134274.979980 426.211365 1801.850952
557204.419922 7134099.990234 422.888153 1801.850952
557304.419922 7134224.979980 425.062805 1801.878052
557254.419922 7134324.979980 426.568146 1801.885986
557254.419922 7134274.979980 425.593323 1801.890991
557304.419922 7134024.989990 423.004333 1801.891968
557204.419922 7134049.989990 422.899384 1801.894043
557254.419922 7134299.979980 426.080688 1801.907959
557354.419922 7133974.989990 422.983521 1801.916016
557254.419922 7134349.979980 427.036621 1801.921021
557254.419922 7134374.979980 427.504761 1801.935059
